word,weight;
korban,-4.0;
kurban,-3.0;
sikit,-3.0;
awal,-2.0;
bongkah,-2.0;
bodoamat,-4.0;
rela,-3.0;
dengkik,-4.0;
takda,-2.0;
obat,-3.0;
tetua,-2.0;
error,-5.0;
anugerah,-1.0;
dongeng,-1.0;
jir,-3.0;
impoten,-5.0;
kiri,-3.0;
perih,-4.0;
babi,-4.0;
habitat,-2.0;
kenang kenang,-2.0;
reka,-2.0;
memejahijaukan,-4.0;
sembah,-2.0;
sudah,-2.0;
gebetan,-2.0;
jutek,-5.0;
ajal,-4.0;
gerombol,-4.0;
ora,-3.0;
gatal,-3.0;
tajam,-2.0;
curu,-3.0;
nongkrong,1.0;
nongol,-2.0;
barzakh,-4.0;
sidang,-3.0;
pantes,-3.0;
ngalah,-3.0;
jabat,-3.0;
ganjil,-4.0;
ketidaktentuan,-5.0;
jarak,-3.0;
sad,-4.0;
comeback,-2.0;
udahan,-4.0;
ugh,-4.0;
acuh acuh,-3.0;
next,-2.0;
cuek,-5.0;
sangkut paut,-4.0;
sayup,-3.0;
ish,-4.0;
doh,-4.0;
pantat,-3.0;
tebal telinga,-3.0;
aneh,-4.0;
korek ngorek,-4.0;
diet,-3.0;
syedih,-5.0;
lugu,-2.0;
interaksi,-2.0;
berhala,-4.0;
iih,-5.0;
tahi,-5.0;
kemaknagandaan,-3.0;
bodoh,-4.0;
final,-2.0;
dimarahin,-5.0;
dibales,-3.0;
sangkut,-4.0;
kampret,-5.0;
jin,-3.0;
murtad,-5.0;
mogok,-5.0;
setan,-4.0;
nyebut,-3.0;
piye,-3.0;
gusur,-5.0;
drastis,-4.0;
pojok,-4.0;
demon,-3.0;
durhaka,-5.0;
super,-2.0;
iblis,-4.0;
baperan,-4.0;
ikut,-2.0;
sebentar,-2.0;
sebelah,2.0;
keri,-4.0;
hantu,-4.0;
makhluk halus,-4.0;
got,-3.0;
siluman,-5.0;
tumpah hati,-3.0;
jasa titip,3.0;
larutan,2.0;
momok,-4.0;
tengkar,-4.0;
mangkas,-2.0;
bain,-2.0;
sundal bolong,-5.0;
sian,-3.0;
jahil,-4.0;
singgah,-2.0;
sekongkol,-4.0;
life,-2.0;
bidah,-3.0;
tantang,-4.0;
selingkuh,-5.0;
getar,-3.0;
classy,-2.0;
peristiwa,-2.0;
lumat,-4.0;
insiden,-4.0;
oon,-5.0;
orok,-3.0;
bijih,-3.0;
pelosot,-3.0;
remuk,-4.0;
keburu,-3.0;
gadai,-3.0;
anjing,-4.0;
naena,-2.0;
jabang bayi,-3.0;
binasa,-5.0;
dalih,-4.0;
why,-2.0;
modus,-3.0;
cuti,-2.0;
bobrok,-5.0;
tidurin,-2.0;
cariin,-2.0;
kandut,-3.0;
dengung,-3.0;
bakar,-3.0;
ganyang,-4.0;
rusak,-4.0;
selusur,-3.0;
konspirasi,-4.0;
kurus,-3.0;
berantak,-4.0;
bully,-5.0;
jadi,-2.0;
bicara,-3.0;
stalk,-4.0;
jeriji,-4.0;
pasuk,-3.0;
sange,-5.0;
kongkalikong,-4.0;
serong,-4.0;
maki,-5.0;
cemong,-4.0;
kerasan,-2.0;
kurang,-3.0;
lilit,-3.0;
kurung,-3.0;
kecil,-3.0;
cemooh,-5.0;
malu,-4.0;
umpat,-4.0;
abai,-3.0;
merem,-2.0;
lock,-2.0;
leceh,-5.0;
lemah,-4.0;
ngilang,-3.0;
kerak,-2.0;
daif,-3.0;
hina aib,-4.0;
kontras,-3.0;
ejek,-4.0;
perang,-3.0;
rundung,-4.0;
marahin,-4.0;
kelakar,-4.0;
sepele,-4.0;
pahit,-4.0;
ngertiin,-3.0;
cabul,-5.0;
jijik,-5.0;
tuak,-3.0;
tauu,-3.0;
beda,-2.0;
hina rendah,-3.0;
buruk,-5.0;
kroco,-4.0;
cela,-5.0;
sindir,-4.0;
busuk,-5.0;
kumuh,-4.0;
singgung,-5.0;
besit,-2.0;
cengkerama,-2.0;
cumbu cumbu,-3.0;
cemeeh,-4.0;
noda,-4.0;
bejat,-5.0;
cibir,-5.0;
olok olok,-4.0;
benci,-5.0;
ulah,-4.0;
keji,-5.0;
gampang,-3.0;
gausa,-3.0;
main main,-2.0;
cumbu,-3.0;
cerca,-4.0;
ldr,-2.0;
menang,-5.0;
genit,-3.0;
erik,-3.0;
lemas,-3.0;
jahad,-4.0;
taraf,-2.0;
monyet,-3.0;
astaghfirullah,-3.0;
letih,-3.0;
tidur,-3.0;
gapaham,-4.0;
punah,-4.0;
lesu,-4.0;
apas,-3.0;
mampus,-5.0;
keramat,-3.0;
campur aduk,-2.0;
ricuh,-4.0;
soms,-4.0;
stress,-5.0;
kemayu,-3.0;
cangkum,-3.0;
lama,-2.0;
diginiin,-3.0;
sihh,-2.0;
yakali,-3.0;
sakral,-2.0;
ngenes,-4.0;
tendensi,-3.0;
kalut,-3.0;
mati,-5.0;
lenguh,-4.0;
jahanam,-5.0;
gangerti,-3.0;
gegara,-3.0;
godain,-3.0;
idiot,-5.0;
ambigu,-3.0;
utang,-4.0;
centil,-3.0;
