word,weight
ngarti,-3
cucut,-3
hutang,-5
gbs,-2
disalahin,-3
incess,-3
kabeh,-2
irit,-2
kabar angin,-3
angkot,-1
problem,-4
yampun,-3
surup,-5
komat kamit,-3
manis,-2
teror,-5
pundung,-4
jadul,-3
sungkap,-3
lengket,-2
injek,-3
melarat,-4
tanah tandus,-3
dobrak,-4
sayat,-4
sedih,-5
retek,-3
coplok,-3
empas,-3
terror,-5
sanding,-2
takut,-4
jepit,-4
muskil,-2
aahh,-3
duka,-4
kurung,-4
mungut,-2
astagfirulloh,-4
peles,-1
muntah,-3
rapet,-2
kedaluwarsa,-3
kocak,-2
eror,-4
kencang,-2
sehat,-1
melar,-2
death,-3
inkarnasi,-1
hidu,-1
geledek,-2
pacul,-4
besar,-2
tembok,-1
najisin,-4
jiji,-4
yaudahlah,-3
nusuk,-3
jigong,-4
dah,-3
uler,-3
lebay,-4
geli,-3
rasuk,-5
seteru,-4
emmm,-2
keladi,-3
lengket lengket,-3
idk,-3
politik,-1
geledah,-3
ngelupain,-4
ngespam,-3
potong,-2
tenang,-1
panik,-4
ngilu,-4
tilam,-4
bencong,-5
pusink,-3
fitnah,-5
sesak,-3
harmonis,-1
bedah,-3
jatah,-1
lutut,-2
tunggang,-1
tusuk,-4
pecat,-5
kumat,-4
better,-1
ceria,-1
sodok,-3
sotau,-4
pitnah,-3
yailah,-3
diduain,-3
nyet,-4
pendek tali,-4
gemetar,-3
bau,-4
pojok,-3
ngomel,-4
numpuk,-3
hambar,-3
down,-3
mesiu,-1
neraka,-5
nganggur,-3
tertib,-2
blur,-4
langah,-3
mupeng,-2
biadab,-5
langau,-4
tekuk lutut,-3
guntur,-3
delay,-3
bangsat,-5
kereta,-4
mengap,-3
,-3
sahara,-2
cair,-1
belaka,-1
gigil,-4
,-4
tumpuk,-4
sogok,-5
binasa,-5
celampak,-3
curi,-5
kecamuk,-4
cucok,-1
diancurin,-3
sapu,-3
kapok,-3
gabaik,-3
cocok,-3
cekak,-3
bogum,-3
majikan,-3
suka,-1
igau,-3
stres,-4
bual,-4
hempas,-4
dipamerin,-3
aniaya,-4
absurd,-2
yang tuan,-3
beling,-1
suci,-1
cubit,-3
bobol,-4
lebai,-3
pipis,-2
lirih,-3
rewel,-4
nestapa,-3
amit,-4
nyampah,-4
depresi,-4
dukacita,-3
hembus,-3
boker,-3
rokok,-3
banjir,-3
darah dingin,-4
manja,-3
rogoh,-3
rogok,-3
ditidurin,-4
copot,-3
rosak,-3
halang,-3
santet,-5
gejolak,-3
dilema,-3
apek,-4
gabutuh,-3
sembur,-3
kejam,-4
rontok,-3
serah,-4
sendu,-2
elegan,-1
jelma,-3
konsekuensi,-3
lapang hati,-1
pajak,-3
ya sudah,-2
gagal,-4
pasrah,-3
tumbuk,-3
sisih,-2
terajam,-4
tkde,-1
berangan,-3
banyol,-3
ria,-3
sayu,-2
musuh,-4
pelosok,-3
anjing,-5
pending,-3
cry,-3
mules,-4
ketar ketar,-3
prihatin,-3
mustahil,-2
komplikasi,-3
isu,-1
anjis,-1
melet,-3
taik,-5
buta hati,-4
kantong tipis,-4
darah,-1
hilaf,-4
ex,-1
anjg,-5
ngeles,-3
goda,-3
murung,-4
jutekin,-5
rasuk,-3
kelok kelok,-2
huhuu,-4
belenggu,-3
rebak,-3
ledak,-4
hayoloh,-3
bisik,-2
lembung,-3
ecer,-2
bagal,-3
anjlok,-4
haters,-5
