Tanggal,Waktu,Link,Nama Akun,Komentar,Tipe
2022-07-01,09:36:15,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugxb2FGdWW_03IjBsvN4AaABAg,@febrisanyahputranadifamili2668,Amiin semua Semangat Amankan Kepada kalian,Komentar
2022-06-27,15:16:58,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwCEwxJL1cmCj5e-G54AaABAg,@07_putriregianiborugultom_91,Jaya selalu UNNES🔥🔥🔥🔥🔥,Komentar
2022-06-25,19:02:01,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzQ5TKE8mBf7AUFW7J4AaABAg,@NuraniFaith,Cakepan UI lah,Komentar
2023-11-19,06:51:10,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzQ5TKE8mBf7AUFW7J4AaABAg.9chordsfEJv9xHsDhv974p,@KeluargaRDR,"alah bang
ini tempat belajar
sama sama warga negara Indonesia yang ingin membangun bangsanya

berkomentarlah selayaknya orang yg berakademisi lah

jangan kampungan 🙃",Balasan
2022-06-25,09:38:24,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwujitwxCfD05-nzap4AaABAg,@salmanabilaidzatunnawa3994,Maap dong kak mau tanya untuk um unnes apakah bisa linjur?,Komentar
2022-06-26,18:14:40,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwujitwxCfD05-nzap4AaABAg.9cgoMgJdjHe9ckJEkDVwmR,@dhiteagung819,bisa,Balasan
2022-06-26,18:17:32,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwujitwxCfD05-nzap4AaABAg.9cgoMgJdjHe9ckJZkATmjk,@salmanabilaidzatunnawa3994,@@dhiteagung819 kn input nilai raport ya itu ngaruh g sii,Balasan
2022-06-24,08:17:09,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxUE52gA6ioNEfWa3d4AaABAg,@lapetitemole,aku mahasiswa unnes yg melihat video hanya tersenyum 🙂,Komentar
2022-06-23,17:00:18,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugz8CVGrFHYApajlJ6d4AaABAg,@ItsMe-bo2bt,gils keren bgtt,Komentar
2022-06-16,00:17:51,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugz4DjxP5MLIJOy66YB4AaABAg,@komeko1673,Gokil nih bismillahh keterima unnes,Komentar
2022-06-14,23:37:51,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwNRZbNrDwmIrljX054AaABAg,@hannaniafzaiwata7742,bismillah bisa kuliah di unnes tahun angkatan 2022 Aamiin,Komentar
2022-06-13,18:30:12,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwCKgb6T1JRhGbP_Vd4AaABAg,@Aa_Fandi,https://youtu.be/eB29hMwH6DA,Komentar
2022-06-13,12:05:17,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyQ7_bxdhRKd-qlWt94AaABAg,@daviddpricee,cantik banget kampusnya(?),Komentar
2022-06-09,14:04:56,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwmIXeuFI1jl7qks594AaABAg,@santriyaninurvatin4889,"Sekali² swasta dong kk, unan purwodadi plisss",Komentar
2022-06-01,20:11:59,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugx27VE8dEWlkO3KL5d4AaABAg,@NUNGSKYY,bismillah keterima di unnes aamiin,Komentar
2022-05-19,05:42:35,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzUt-u-CpAGC_Xnzah4AaABAg,@annisawidyarahmawati5943,"Ngga nyangka sebentar lagi mau jadi alumni InsyaAllah,makin semangat buat wisuda 🥰",Komentar
2022-05-18,12:19:05,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwpFhQacnPLe8ALHZx4AaABAg,@lang8650,Agak mirip ui tapi ya lebih sejuk ui sih,Komentar
2022-05-12,23:23:50,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwZCswKkenAQCYUNmZ4AaABAg,@reyshandyo5190,Nama sound di opening apa yah,Komentar
2022-05-08,00:14:34,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxMGCaX4a8zD3xt_T54AaABAg,@olaviaresmaputri,Bismillahirrohmanirrohim semoga aku lolos sbmptn 2022 dan diterima di UNNES jurusan ilmu hukum. Aamiin.,Komentar
2022-05-07,12:09:36,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxgiuoUOpOTLNr7M7t4AaABAg,@jasinsaba2545,"Bang,sekarang bola dunianya udah diganti burung garuda😊",Komentar
2022-04-28,07:04:56,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgweybHyiaCfcQE4IgR4AaABAg,@MuhammadIzaazMachrus,sekarang lapangan bolanya sintetis bang,Komentar
